Protein	geneSymbol	diseaseName	diseaseClass	disease
Glutathione S-transferase P	GSTP1	Sarcoma, Epithelioid	C04	Новообразования
Glutathione S-transferase P	GSTP1	Sarcoma, Spindle Cell	C04	Новообразования
Glutathione S-transferase P	GSTP1	mixed gliomas	C04	Новообразования
Glutathione S-transferase P	GSTP1	Condition, Preneoplastic	C04	Новообразования
Glutathione S-transferase P	GSTP1	Prostatic Intraepithelial Neoplasias	C04	Новообразования
Glutathione S-transferase P	GSTP1	Malignant Glioma	C04	Новообразования
Glutathione S-transferase P	GSTP1	Sarcoma	C04	Новообразования
Heat shock protein beta-1	HSPB1	Squamous cell carcinoma	C04	Новообразования
Heat shock protein beta-1	HSPB1	Leukemia, Myelocytic, Acute	C04	Новообразования
Heat shock protein beta-1	HSPB1	Acute Myeloid Leukemia, M1	C04	Новообразования
Heat shock protein beta-1	HSPB1	Adenocarcinoma of lung (disorder)	C04	Новообразования
Heat shock protein beta-1	HSPB1	Acute Myeloid Leukemia (AML-M2)	C04	Новообразования
Insulin-like growth factor I	IGF1	Adenoma	C04	Новообразования
Insulin-like growth factor I	IGF1	Mammary Neoplasms, Experimental	C04	Новообразования
Insulin-like growth factor I	IGF1	Adenoma, Basal Cell	C04	Новообразования
Insulin-like growth factor I	IGF1	Follicular adenoma	C04	Новообразования
Insulin-like growth factor I	IGF1	Adenoma, Microcystic	C04	Новообразования
Insulin-like growth factor I	IGF1	Adenoma, Monomorphic	C04	Новообразования
Insulin-like growth factor I	IGF1	Papillary adenoma	C04	Новообразования
Insulin-like growth factor I	IGF1	Adenoma, Trabecular	C04	Новообразования
Insulin-like growth factor I	IGF1	Squamous cell carcinoma of the head and neck	C04	Новообразования
Keratin type I cytoskeletal 10	KRT10	Squamous cell carcinoma	C04	Новообразования
Lactotransferrin	LTF	Malignant Neoplasms	C04	Новообразования
Lactotransferrin	LTF	Neoplasms	C04	Новообразования
Lactotransferrin	LTF	Benign Neoplasm	C04	Новообразования
Matrix Gla protein	MGP	Carcinoma	C04	Новообразования
Matrix Gla protein	MGP	Mammary Neoplasms, Experimental	C04	Новообразования
Matrix Gla protein	MGP	Anaplastic carcinoma	C04	Новообразования
Matrix Gla protein	MGP	Carcinoma, Spindle-Cell	C04	Новообразования
Matrix Gla protein	MGP	Undifferentiated carcinoma	C04	Новообразования
Matrix Gla protein	MGP	Carcinomatosis	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Astrocytoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Squamous cell carcinoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Glioblastoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Mammary Neoplasms, Experimental	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Subependymal Giant Cell Astrocytoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Juvenile Pilocytic Astrocytoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Diffuse Astrocytoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Anaplastic astrocytoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Protoplasmic astrocytoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Gemistocytic astrocytoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Fibrillary Astrocytoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Pilocytic Astrocytoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Giant Cell Glioblastoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Childhood Cerebral Astrocytoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Mixed oligoastrocytoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Cerebral Astrocytoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Intracranial Astrocytoma	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Glioblastoma Multiforme	C04	Новообразования
Matrix metalloproteinase-9	MMP9	Grade I Astrocytoma	C04	Новообразования
Melanotransferrin	MELTF	melanoma	C04	Новообразования
Neutrophil gelatinase-associated lipocalin	LCN2	Malignant Neoplasms	C04	Новообразования
Neutrophil gelatinase-associated lipocalin	LCN2	Neoplasms	C04	Новообразования
Neutrophil gelatinase-associated lipocalin	LCN2	Benign Neoplasm	C04	Новообразования
Occludin	OCLN	Malignant Neoplasms	C04	Новообразования
Occludin	OCLN	Neoplasms	C04	Новообразования
Occludin	OCLN	Benign Neoplasm	C04	Новообразования
Osteopontin	SPP1	Adenocarcinoma	C04	Новообразования
Osteopontin	SPP1	Glioma	C04	Новообразования
Osteopontin	SPP1	Mammary Neoplasms, Experimental	C04	Новообразования
Osteopontin	SPP1	Mesothelioma	C04	Новообразования
Osteopontin	SPP1	Neoplasms, Experimental	C04	Новообразования
Osteopontin	SPP1	Adenocarcinoma, Basal Cell	C04	Новообразования
Osteopontin	SPP1	Adenocarcinoma, Oxyphilic	C04	Новообразования
Osteopontin	SPP1	Carcinoma, Cribriform	C04	Новообразования
Osteopontin	SPP1	Carcinoma, Granular Cell	C04	Новообразования
Osteopontin	SPP1	Adenocarcinoma, Tubular	C04	Новообразования
Osteopontin	SPP1	mixed gliomas	C04	Новообразования
Osteopontin	SPP1	Malignant Glioma	C04	Новообразования
Peroxiredoxin-1	PRDX1	Precancerous Conditions	C04	Новообразования
Peroxiredoxin-1	PRDX1	Condition, Preneoplastic	C04	Новообразования
Peroxiredoxin-2	PRDX2	Carcinoma	C04	Новообразования
Peroxiredoxin-2	PRDX2	Leukemia, Monocytic, Chronic	C04	Новообразования
Peroxiredoxin-2	PRDX2	Myeloid Leukemia	C04	Новообразования
Peroxiredoxin-2	PRDX2	Mammary Neoplasms, Experimental	C04	Новообразования
Peroxiredoxin-2	PRDX2	melanoma	C04	Новообразования
Peroxiredoxin-2	PRDX2	Osteosarcoma	C04	Новообразования
Peroxiredoxin-2	PRDX2	Anaplastic carcinoma	C04	Новообразования
Peroxiredoxin-2	PRDX2	Carcinoma, Spindle-Cell	C04	Новообразования
Peroxiredoxin-2	PRDX2	Undifferentiated carcinoma	C04	Новообразования
Peroxiredoxin-2	PRDX2	Carcinomatosis	C04	Новообразования
Pigment epithelium-derived factor	SERPINF1	Adenoid Cystic Carcinoma	C04	Новообразования
Protein AMBP	AMBP	Carcinoma, Transitional Cell	C04	Новообразования
Serum paraoxonase/arylesterase 1	PON1	Neuroectodermal Tumor, Primitive	C04	Новообразования
Serum paraoxonase/arylesterase 1	PON1	Spongioblastoma	C04	Новообразования
Serum paraoxonase/arylesterase 1	PON1	Medulloepithelioma	C04	Новообразования
Serum paraoxonase/arylesterase 1	PON1	Ependymoblastoma	C04	Новообразования
Serum paraoxonase/arylesterase 1	PON1	Cerebral Primitive Neuroectodermal Tumor	C04	Новообразования
SPARC	SPARC	Leukemia, Myelocytic, Acute	C04	Новообразования
SPARC	SPARC	Acute Myeloid Leukemia, M1	C04	Новообразования
SPARC	SPARC	Neoplasms, Experimental	C04	Новообразования
SPARC	SPARC	Acute Myeloid Leukemia (AML-M2)	C04	Новообразования
Stromelysin-1	MMP3	Astrocytoma	C04	Новообразования
Stromelysin-1	MMP3	Subependymal Giant Cell Astrocytoma	C04	Новообразования
Stromelysin-1	MMP3	Juvenile Pilocytic Astrocytoma	C04	Новообразования
Stromelysin-1	MMP3	Diffuse Astrocytoma	C04	Новообразования
Stromelysin-1	MMP3	Anaplastic astrocytoma	C04	Новообразования
Stromelysin-1	MMP3	Protoplasmic astrocytoma	C04	Новообразования
Stromelysin-1	MMP3	Gemistocytic astrocytoma	C04	Новообразования
Stromelysin-1	MMP3	Fibrillary Astrocytoma	C04	Новообразования
Stromelysin-1	MMP3	Pilocytic Astrocytoma	C04	Новообразования
Stromelysin-1	MMP3	Childhood Cerebral Astrocytoma	C04	Новообразования
Stromelysin-1	MMP3	Mixed oligoastrocytoma	C04	Новообразования
Stromelysin-1	MMP3	Cerebral Astrocytoma	C04	Новообразования
Stromelysin-1	MMP3	Intracranial Astrocytoma	C04	Новообразования
Stromelysin-1	MMP3	Grade I Astrocytoma	C04	Новообразования
Tenascin C	TNC	melanoma	C04	Новообразования
Thrombomodulin	THBD	Acute Promyelocytic Leukemia	C04	Новообразования
Transcription factor SOX-11	SOX11	Adenoid Cystic Carcinoma	C04	Новообразования
Zinc-alpha-2-glycoprotein	AZGP1	Adenocarcinoma	C04	Новообразования
Zinc-alpha-2-glycoprotein	AZGP1	Adenocarcinoma, Basal Cell	C04	Новообразования
Zinc-alpha-2-glycoprotein	AZGP1	Adenocarcinoma, Oxyphilic	C04	Новообразования
Zinc-alpha-2-glycoprotein	AZGP1	Carcinoma, Cribriform	C04	Новообразования
Zinc-alpha-2-glycoprotein	AZGP1	Carcinoma, Granular Cell	C04	Новообразования
Zinc-alpha-2-glycoprotein	AZGP1	Adenocarcinoma, Tubular	C04	Новообразования
Alpha-1-antitrypsin	SERPINA1	Lung Neoplasms	C04	Новообразования
Alpha-1-antitrypsin	SERPINA1	Malignant neoplasm of stomach	C04	Новообразования
Alpha-1-antitrypsin	SERPINA1	Neoplasm Metastasis	C04	Новообразования
Alpha-1-antitrypsin	SERPINA1	Stomach Neoplasms	C04	Новообразования
Alpha-1-antitrypsin	SERPINA1	Malignant neoplasm of lung	C04	Новообразования
Alpha-1-antitrypsin	SERPINA1	Hereditary Diffuse Gastric Cancer	C04	Новообразования
Alpha-1-antitrypsin	SERPINA1	Liver carcinoma	C04	Новообразования
Alpha-1-antitrypsin	SERPINA1	Gastro-enteropancreatic neuroendocrine tumor	C04	Новообразования
Alpha-2-macroglobulin	A2M	Malignant tumor of colon	C04	Новообразования
Alpha-2-macroglobulin	A2M	Colonic Neoplasms	C04	Новообразования
Alpha-2-macroglobulin	A2M	Lung Neoplasms	C04	Новообразования
Alpha-2-macroglobulin	A2M	Hepatocellular Adenoma	C04	Новообразования
